gene,log2FC,pvalue,neglog10p
DRAXIN,2.565639974519505e-07,0.9997141262746845,0.00012417108746143592
AGTRAP,0.06279094113496057,6.707395804602753e-30,10.0
C1orf167,0.0005070987409634955,0.6366397120715767,0.19610627454464005
MTHFR,0.2890480910859889,3.75387928766171e-137,10.0
CLCN6,0.3460194603542089,3.6910327011402415e-179,10.0
NPPA,0.0022797635403573884,0.012480098346138911,1.9037819888165544
AL021155.5,0.010916420840349392,6.398136845000251e-07,6.193878602380836
KIAA2013,0.04552583388074226,1.284390267092888e-16,9.999999442196753
PLOD1,0.11191324722800285,7.081664519149657e-50,10.0
MFN2,0.13428824099594222,2.465110523761248e-60,10.0
MIIP,0.08673282095689405,6.996641215589522e-41,10.0
TNFRSF8,-0.0056464138418709465,0.0027203683409930237,2.5653722720489442
TNFRSF1B,0.01296675507631817,0.0406434078925932,1.3910098831472906
VPS13D,0.8840536398531718,0.0,10.0
LINC02766,-0.0002532286654849329,0.31737179342560706,0.4984316738651133
DHRS3,0.2599507363290937,4.568944941841591e-97,10.0
AC254633.1,0.006122581264125175,0.00026020034049126174,3.584691972560127
PRAMEF19,0.00025329280648429586,0.31737180895174844,0.49843165261899913
LRRC38,6.414099936298762e-08,0.9998571174595716,6.205748900723472e-05
PDPN,0.030719765059865633,9.374017803418615e-14,9.999593082272389
AL359771.1,0.0007600067014516135,0.2565758699522546,0.5907841897222631
PRDM2,0.579463721787349,4.716219404214034e-307,10.0
KAZN,2.504386930004879,0.0,10.0
AL357873.1,0.05830304451232587,9.73663102655581e-40,10.0
KAZN-AS1,0.08684941280404096,4.937136605990213e-57,10.0
AL031293.1,0.0007598784194528875,0.0832645067642441,1.0795400857228505
TMEM51-AS1,0.10409401128299017,9.278574002851771e-54,10.0
TMEM51,0.29788306782432594,2.7274964211581853e-131,10.0
C1orf195,0.0022796352583586625,0.002689694569072851,2.5702970177905393
FHAD1,0.023790531564121274,2.3147255985718744e-05,4.635498609241765
AL031283.2,0.0007601349834503394,0.4049762035862118,0.3925704950850637
AL031283.3,0.0007598784194528875,0.0832645067642441,1.0795400857228505
AL031283.1,0.00025329280648429586,0.31737180895174844,0.49843165261899913
EFHD2,0.03452919016029026,1.6079144582789674e-10,9.583706657919677
CTRC,0.001161338019432917,0.050821103635485324,1.2939559071521294
CELA2B,0.0012664640324214793,0.025328755274128856,1.596386150415858
CASP9,0.09513814016611447,6.505476058808115e-48,10.0
DNAJC16,0.27251027558400437,3.2556456084807227e-140,10.0
AGMAT,0.0007601991244497025,0.4048150255049556,0.3927433760689166
AL121992.1,0.011546599649286497,5.79039599789155e-10,9.16810489807821
DDI2,0.37871351582428575,1.5624780355491439e-192,10.0
PLEKHM2,0.17940541159830192,1.487842835814748e-69,10.0
AL450998.3,0.0020264707338730928,0.02082065690190702,1.681505570320156
SLC25A34,0.007136201477057898,0.00026192156223971103,3.581828581749928
SLC25A34-AS1,0.00025329280648429586,0.31737180895174844,0.49843165261899913
TMEM82,0.0005066497539679547,0.31716494389601163,0.4987148209459917
FBLIM1,0.07140880572437465,1.569545417860175e-32,10.0
